no,sentence,n(list),v(list)
128,Other animals eat the animals that live on plants,"Other animals, the animals, that, plants","eat, live"
129,But plants make their own food in the presence of sunlight using water and the carbon dioxide from the air.,"plants, their own food, the presence, sunlight, water, the carbon dioxide, the air","make, using"
130,It means that plants are the main support of every food chain.,"It, plants, the main support, every food chain","means, are"
131,"Ball and socket joint : In this type of joint, the bones can move in two or more directions - in a 3600 angle.","Ball, this type, socket joint, a joint, the bones, two or more directions, a 3600 angle",can move
132,Examples : shoulder and hip joints.,"Examples, shoulder,hip joints",
133,The skull is formed by the bones of the head and face.,"The skull, the bones, the head, face",is formed
134,The bones of the skull are flat and strong.,"The bones, the skull",are
135,"There are altogether 22 bones in the skull, 8 in the head and 14 in the face."," 22 bones, the skull, the head, the face",are 
136,"Except for the lower jaw, none of the bones of the skull can move.","the lower jaw, none, the bones, the skull",can move
137,The spine is formed by padlock-shaped bones placed straight one above the other.,"The spine, padlock-shaped bones, the other.","is formed, placed"
138,"There are altogether 33 bones in the spine, each called a vertebra.","33 bones, the spine, a vertebra","are , called"
139,These bones are arranged one above the other flexibly.,"These bones, the other.",are arranged
140,The spine protects the spinal cord that originates from the brain.,"The spine, the spinal cord, that, the brain","protects,originates"
141,"The germs of diseases of the intestines like typhoid, cholera, diarrhoea as also of jaundice, are present in the faeces of the affected person.","The germs, diseases, the intestines, typhoid, cholera, diarrhoea, jaundice, the faeces, the affected person",are present
142,If the faeces get mixed with water the germs in it also enter the water.,"the faeces, water, the germs, it, the water","get mixed,enter"
143,"If another person drinks water which has been contaminated by these germs, they enter his intestines too, and that person can get the disease.","another person, water, which, these germs, they, his intestines, that person, the disease","drinks, has been contaminated, enter, can get"
144,"To prevent the spread of disease in this manner, it is best to avoid washing clothes and bathing in the water sources or defecating on the banks of the water, etc.","the spread, disease, this manner, it, washing clothes, the water sources, the banks, the water","prevent, is, avoid washing, bathing, defecating"
145,Germs of diseases like the flu or conjunctivitis spread quickly through the air.,"Germs, diseases, the flu, conjunctivitis, the air",spread
146,"So, many people can get such diseases all at one time.","many people, diseases, one time",can get
147,"If the water of a common source is contaminated by germs of a disease like cholera, then there is the danger of all those who drink that water getting the disease.","the water, a common source, germs, a disease, cholera, the danger, all those, who, that water, the disease","is contaminated, is, drink, getting"
148,"If, at some place, mosquitoes breed in large numbers then many people there can get malaria","some place, mosquitoes, large numbers, many people, malaria","breed, can get"
149,"When disease producing microorganisms enter our body, the body resists the disease or fights the germs.","disease producing microorganisms, our body, the body, the disease, the germs","producing, enter, resists, fights"
150,"That is why, many times we do not get a disease even if germs enter our body.","That, many times, we, a disease, germs, our body","is, do not get, enter"
151,Another way to prevent disease is vaccination.,"Another way, disease, vaccination","prevent, is"
152,Our body develops resistance to a particular disease due to vaccination.,"Our body, resistance, a particular disease, vaccination",develops
153,Some lay eggs,"Some,eggs",lay
154,The process by which the seeds are scattered away from the mother plants is called dispersal .,"The process, which, the seeds, the mother plants, dispersal","are scattered away, is called"
155,Nature has its own ways of dispersal of seeds.,"Nature, its own ways, dispersal, seeds",has
156,Dispersal by wind \u2013 Seeds of certain plants are very light and have wings hair on them .,"wind, Seeds, certain plants, wings hair, them","are very, have, hair"
157,These seeds are easily carried away by wind.,"These seeds, wind",are easily carried
158,Sycamore Plants has winged seeds that are carried away by wind.,"Sycamore Plants, seeds, that, wind","as winged, are carried away"
159,Dandelion Seeds have hair that act like a parachute,"Dandelion Seeds, hair,that, a parachute",have hair
160,The fluff around the cotton seeds helps to float away with the wind.,"he fluff, the cotton seeds, the wind","helps, float away"
161,"Dispersal by Animals \u2013 Animals & human beings eat some fruits & throw away the seeds, which grow into new plants.","Dispersal, Animals, human beings, some fruits ,the seeds, which, new plants","eat, throw, grow"
162,"Certain seeds have hooks, stiff hairs or spines which help in their dispersal.","Certain seeds, stiff hairs, spines, which, their dispersal","have hooks, help"
163,Some seeds have spins or hooks,"Some seeds, spins, hooks",have
164,These seeds stick to the body of animals and birds and are carried away from the parent plants.,"These seeds, the body, animals, birds, the parent plants","stick, are carried away"
165,Birds and animals also eat fruits seeds pass through their digestive system undigested and are dispersed to other areas.,"Birds, animals, fruits seeds, their digestive system, other areas","eat, pass , are dispersed"
166,Squirrels bury seeds and nuts for eating them during winter.,"Squirrels, seeds,nuts, them, winter",eating
167,Sometimes squirrel forget where they had bury seeds.,"squirrel, they, bury seeds",had
168,Dispersal by water \u2013 seeds of some plants such as lotus and coconut are spongy or have fibrous covering which help them to float on water.,"water, some plants, lotus, coconut, fibrous covering, which, them","are spongy, have, covering, help, float"
169,Water transports these seeds from one place to another.,"Water, these seeds, one place, another",transports
170,Coconuts can travel several thousand kilometers across oceans.,"coconuts, oceans",can travel
171,the coconut palms on south sea islands grew from coconuts carried there by ocean currents.,"the coconut palms, south sea islands, coconuts, ocean currents","grew, carried"
172,"Dispersal by Explosion \u2013 Fruits of certain plants such as poppy, pea, beans burst open when they are ripe, scattering the seeds in all directions.","Explosion, certain plants, pea ,beans, they, the seeds, all direction","burst, are,scattering"
173,This mechanism of seeds dispersal is called explosion.,"This mechanism, seeds dispersal, explosion",is called
174,"When grain like jowar, wheat is ground into a flour, the particles in the flour are not all alike.","jowar, wheat, a flour, the particles, the flour","is ground,are not"
175,"When the flour is sifted, we find the larger particles left behind on the sieve","the flour, we, the larger particles, the sieve","is sifted,find ,left"
176,These particles are fine pieces of the skin or bran of the grain.,"These particles, pieces, the grain",are
177,Bran is a fibrous substance.,"Bran, a fibrous substance",is
178,"In the process of digestion, fibre has a special function.","the process, digestion, fibre, a special function",has
179,Fibrous substances help the food to move forward in the alimentary canal at the right speed.,"Fibrous substances, the food, the alimentary canal, the right speed","help, move forward"
180,The undigested food is of no use to the body.,"The undigested food, no use, the body",is
181,Fibre helps to form stool from this undigested food.,"Fibre, stool, this undigested food","helps, form "
182,Fibre is also called \u2018roughage\u2019.,Fibre,is also called
183,"Fruits and vegetables, especially their skins, whole grains and pulses are all sources of fibre in food.","Fruits, vegetables, especially their skins, whole grains, pulses, sources, fibre, food",are
184,"If our food does not contain enough fibre, it can lead to constipation.","our food, enough fibre, it, constipation","does not contain,can lead"
185,"Up to now we have learnt about three types of substances present in our food starch, sugar and fibre.","we, about three types, substances, our food starch, sugar, fibre",have learnt
186,These substances are together called carbohydrates,"These substances, carbohydrates",are together called
187,The most important use of carbohydrates is to provide the body with energy.,"The most important use, carbohydrates, the body, energy","is, provide"
188,"Just as stones and bricks are the building blocks needed for a wall, proteins are the building blocks of our body.","stones, bricks, the building blocks, a wall, proteins, the building blocks, our body","are,needed"
189,The body undergoes wear and tear continuously.,The body,
190,"Sometimes, it gets injured.",it,gets injured
191,"But, the healing and repair of our body goes on all the time without our being aware of it.","the healing, repair, our body, all the time, our, it","goes, being"
192,Proteins are necessary for that purpose.,"Proteins, that purpose",are
193,Proteins are required in plenty during the growing years of a person\u2019s life,"Proteins, plenty, the growing years, a person\u2019s life","are required, growing"
194,"All the different daals, pulses, groundnuts, milk and milk products like yoghurt, khoya and paneer, eggs, meat and fish are rich sources of proteins","All the different daals, pulses, groundnuts, milk, milk products, yoghurt, khoya, paneer, eggs, meat, fish, rich sources, proteins",are
195,"To get the required proteins, our daily diet should include daals, pulses as well as milk and milk products.","the required proteins, our daily diet, daals, pulses, milk and milk products","get, should include"
196,"Minerals : Iron, calcium, sodium, potassium are examples of minerals that are essential for the body.","Minerals, Iron, calcium, sodium, potassium, examples, minerals, that, the body",are
197,They are needed in very small quantities but they have an important part to play in all the necessary functions of our body.,"They, very small quantities, they, an important part, all the necessary functions, our body","are needed,have,play"
198,"For example, iron is necessary for carrying oxygen to different parts of the body.","example, iron, oxygen, different parts, the body",is carrying
199,"If there is a deficiency of iron in the blood, the body does not get enough supply of oxygen, and one feels constantly weak and tired.","a deficiency, iron, the blood, the body, enough supply, oxygen, one","is, does not get"
200,This condition is called \u2018anaemia\u2019.,This condition,is called
201,These seeds often germinate and grow into new plants,"These seeds, new plants","germinate,grow"
202,The mineral calcium makes our bones strong,"The mineral calcium, our bones",makes
203,"All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses, their skins and the bran of cereals and pulses are all sources of vitamins and minerals.","All kinds, fruits, vegetables,green leafy vegetables, sprouted pulses, their skins, the bran, cereals, pulses, sources, vitamins, minerals","sprouted,are"
204,"That is why, as far as possible, we should eat fruits with their skins and we should not sift flour to throw away the bran","That, We,fruits, their skins, we, flour,the bran","is, should eat, sift, throw"
205,Hold your hand in front of your nose or keep your hand on your chest.,"our hand, front, your nose, your hand, your chest","Hold,Keep"
206,What do you feel?,"What, you ","do,feel"
207,"If we observe a sleeping dog, what movement of its belly do we see ?","we, a sleeping dog, what movement, its belly","observe,do,see"
208,Living things need oxygen in order to live.,"Living things, oxygen, order","Living, need,live"
209,Inhaling oxygen and exhaling the carbon dioxide formed in the body due to the use of oxygen is called respiration,"oxygen, the carbon dioxide, the body, the use, oxygen, respiration","Inhaling, exhaling, formed, is called"
210,"Animals such as fish, snake, mouse, etc. have specific organs for respiration.","Animals, fish, snake, mouse, specific organs, respiration","snake,have"
211,"On the other hand, plants respire by means of microscopic pores on their stems and leaves","The other hand, plants respire, means, microscopic pores, their stems, leaves",respire
212,Trees : Some plants grow tall.,Some plants,grow
213,"Their stem, or trunk, is hard and strong.","Their stem, trunk",is
214,They have branches at some height above the ground.,"They ,branches, some height, the ground",have
215,They bear flowers and fruit for many years.,"They, flowers, fruit ,many years",bear
216,Such plants are called trees.,"Such plants, trees",are called
217,"Trees are tall, big and perennial, i.e., they live for many years.","Trees,they , many years",are live
218,Electricity flows through metals.,"Electricity,metals",flows
219,All metals are conductors of electricity to a greater or lesser extent.,"All metals, conductors, electricity, a greater or lesser extent",are
220,This property is called electrical conductivity.,"This property, electrical conductivity",is called
221,"Even when a piece of a metal is heated at one place, the whole of it becomes hot.","a piece, one place, the whole, it","is heated, becomes"
222,It shows that metals allow heat to flow through them.,"It, metals, heat, them","shows, allow, flow"
223,This property is called thermal conductivity.,"This property, thermal conductivity",is called
224,Metals have a typical shine or lustre.,"Metals, a typical shine, lustre",have
225,Every metal has a characteristic colour by which it can be identified.,"very metal, a characteristic colour, which, it","has,can be identified"
226,"When we can look through a substance and see things on the other side, then that substance is said to be transparent","we, a substance, things, the other side, that substance","can look, see, is said, be"
227,Can you name some states of our country where cotton is grown?,"you, some states, our country, cotton","name, is grown"
228,The fruits of the cotton plant (cotton bolls) are about the size of a lemon.," The fruits, the cotton plant, cotton bolls, the size, a lemon",are
229,"After maturing, the bolls burst open and the seeds covered with cotton fibres can be seen.","the bolls, the seeds, cotton fibres","maturing, covered, can be seen"
230,Have you ever seen a cotton field that is ready for picking?,"you, a cotton field, that","Have, seen, is, picking"
231,"It looks like a field covered with snow.na From these bolls, cotton is usually picked by hand.","It, a field, snow.na, these bolls, cotton, hand","looks, covered, is usually picked"
232,Fibres are then separated from the seeds by combing.,"Fibres, the seeds","are then separated, combing"
233,This process is called ginning of cotton.,"This process, ginning, cotton",is called
234,Ginning was traditionally done by hand (Fig.3.7),"Ginning, hand",Ginning was traditionally done
235,"These days, machines are also used for ginning.","machines, ginning","are also used, ginning"
